n,n_2,Mass,Length,Energy
39,1521,2.6237385929905356e-30,7.855981312143705e-09,1.3217984312331383e-20
90,8100,2.7589652380868937e-27,3.5738520622891083e-09,1.401668167518958e-22
100,10000,1.066603548261229e-28,3.2055190452277424e-09,5.007515758535576e-21
43,1849,5.6631655824070886e-28,2.574448320864077e-10,6.287281580256956e-20
20,400,2.5200710971929635e-28,8.919547219698508e-09,5.474615922041567e-23
80,6400,1.7495727374438417e-29,7.2991486068796594e-09,4.7101598335543e-21
77,5929,1.431038582649822e-29,4.5466885470012355e-09,1.4284697329979252e-20
70,4900,8.863844288818209e-29,1.4203838846264736e-09,2.1482584127492213e-20
25,625,4.444328737386312e-27,6.912956458150633e-09,6.459936699083685e-24
52,2704,7.756899712356327e-29,5.916189563326944e-09,1.0511218814631406e-21
22,484,8.845174141022239e-29,5.018110071560169e-09,5.420732776279108e-22
80,6400,1.7298997302804859e-28,5.784014361150463e-09,7.586341746013685e-22
42,1764,4.23714858383231e-28,4.456957603855601e-09,2.7385499250938102e-22
48,2304,4.4336183412504285e-29,1.208893991323831e-09,4.065636683134656e-20
9,81,7.026175540314862e-30,4.481771030763123e-09,3.4998244048180924e-21
94,8836,2.5350711793322263e-28,7.664937589876626e-09,3.463717959700142e-22
53,2809,2.4791911820196197e-29,3.484470350715483e-09,9.66305332109109e-21
88,7744,5.152733642516009e-29,3.6632180205506905e-09,6.984599633255939e-21
44,1936,3.534800361910038e-27,5.328937736707441e-09,2.405628529463166e-23
55,3025,8.049108672170249e-27,3.995968676086963e-09,2.3485121973194164e-23
14,196,3.1508272119410535e-27,7.665433236153497e-09,4.150038342069787e-24
54,2916,3.846475565027969e-29,8.800058612443435e-09,9.949052538494279e-22
23,529,7.643869471272607e-27,4.39332783355067e-09,8.555579315690659e-24
11,121,2.164931190812422e-29,1.1139941718338821e-09,2.2470090527844723e-20
70,4900,8.559485554198981e-29,3.2937213186560385e-09,4.137125991086306e-21
52,2704,4.821263417943779e-29,6.117125955594077e-09,1.581866063264465e-21
3,9,1.0776810229312106e-28,7.88753120040183e-09,2.4556751241870748e-23
69,4761,1.2916544394646952e-27,2.383931270971068e-09,5.158665411530595e-22
4,16,1.3828926788631595e-29,5.383262231418074e-10,5.477753866480625e-20
67,4489,2.294985996352513e-28,8.400159236719745e-09,2.2706060834858514e-22
72,5184,2.819094421154128e-27,4.59751847779083e-09,6.631289366315321e-23
10,100,2.3478667580623046e-28,6.387958066560221e-09,5.728283607438891e-23
90,8100,2.238621449256982e-30,6.627032643860393e-09,5.023954539785035e-20
21,441,1.337288277178527e-30,1.5299573696919948e-09,3.681778600941223e-19
19,361,3.2687230821504313e-28,1.6989998056626487e-09,1.1051236794323325e-21
12,144,5.2162721768702245e-28,2.638710659270731e-09,1.8132577023462291e-22
37,1369,3.9682161238488217e-28,4.024405016678002e-09,3.15954914609738e-22
15,225,1.281911350938994e-29,4.1794961157456475e-09,3.676270725549922e-21
17,289,1.8230713696382805e-28,4.69522931769283e-09,2.3214199151247046e-22
60,3600,8.449470666105933e-29,6.7066842284963146e-09,8.664192681312082e-22
4,16,1.0049697160529243e-28,8.11761851211278e-09,3.3149105422312074e-23
40,1600,2.2263436936433718e-29,2.544458228619168e-09,1.5229975412656128e-20
17,289,1.062493943583882e-28,7.97615315245275e-09,1.380249381762287e-22
33,1089,6.823076048822926e-27,1.3916331729142085e-09,1.3705858839214168e-22
84,7056,8.255784200314125e-28,9.90447445944847e-09,5.692200023778126e-23
58,3364,5.316845905259716e-29,9.526211301285932e-09,6.597138033847605e-22
54,2916,2.7289571935020753e-28,3.669206117331592e-09,8.066309665256788e-22
77,5929,1.4210431431663749e-27,2.4543914201386743e-09,4.936485724524869e-22
69,4761,1.3937272121786538e-28,2.393002814423187e-10,4.744680404249577e-19
48,2304,1.3862792648968664e-27,8.923207024240738e-09,2.3865505838146093e-23
97,9409,1.486159115741142e-28,8.041697957670918e-09,5.539020622598245e-22
10,100,1.1178417082157353e-29,2.9488929810883445e-09,5.645777240382566e-21
31,961,1.8530354577262525e-28,5.365066522806243e-09,3.189699817786483e-22
100,10000,1.32116336734481e-27,5.982477988768075e-09,1.1606554895581974e-22
66,4356,5.410861472062737e-30,3.774299713173866e-09,4.699231322299257e-20
44,1936,6.1104283395792615e-27,8.018515705388042e-10,6.146319395687806e-22
10,100,1.1347635844499165e-28,2.262034385703769e-09,9.451881681733169e-22
54,2916,6.987175880818597e-27,5.4110839246903874e-09,1.4485904464665784e-23
51,2601,4.235286536074914e-27,4.695065941204938e-10,2.997961545535108e-21
34,1156,1.0158556734503827e-28,8.225575672699141e-09,2.7147908346106226e-22
35,1225,1.0887832117344948e-28,5.094213725436214e-09,6.798206887954315e-22
28,784,2.8440096555362877e-27,5.417137742053125e-09,1.8412352449013225e-23
22,484,1.0902820590465177e-30,5.819738713464858e-09,3.269632288764363e-20
51,2601,7.156714903707929e-29,6.397151369782532e-10,9.556641108786965e-20
35,1225,2.0986419458812757e-27,1.3726397919492762e-09,4.857788450363742e-22
47,2209,6.55278829396627e-30,8.753611529190913e-09,5.137114596093726e-21
86,7396,8.347725749481944e-30,6.906755140522121e-10,1.1852343548289087e-18
80,6400,2.1339980746085735e-28,4.241453492137704e-09,1.1436381044804022e-21
12,144,1.2943436634962117e-28,6.067103388897665e-09,1.3822637680398406e-22
18,324,6.156415225059763e-30,3.6339152925875587e-10,1.2151141388618488e-18
61,3721,2.1613414776071052e-30,4.327241372877105e-09,8.271919082580777e-20
36,1296,1.2379692644708795e-30,9.977802717485586e-09,1.603041939472727e-20
93,8649,2.6831776135960094e-29,2.8446422917580383e-09,2.3507165969699563e-20
88,7744,2.825101134730689e-29,8.739789153135397e-09,2.2380450979663078e-21
65,4225,1.8455722563963128e-29,7.846453649276251e-09,3.1394787531629653e-21
32,1024,1.4209670317799715e-28,1.4269837836812495e-09,6.069458869774828e-21
64,4096,4.2391694932579036e-30,7.541130397444045e-09,1.4569624662829493e-20
79,6241,3.389409177873544e-29,2.460961948769251e-09,2.1121043188508712e-20
76,5776,4.448365745418174e-30,2.3363910984600283e-09,1.7176872440209212e-19
10,100,5.797167366855434e-27,8.470327889030054e-10,1.319489043544094e-22
80,6400,5.7101285104095004e-30,3.582894234292879e-09,5.989605240840184e-20
8,64,5.4019354558031286e-30,5.366660118038521e-09,2.82198359890338e-21
28,784,1.662418453303368e-30,6.445005846705859e-09,2.2253233290345772e-20
73,5329,2.873391307255523e-29,5.552100161834676e-10,4.523093586358819e-19
39,1521,3.162960160381101e-30,6.3685158641346515e-09,1.668462642980667e-20
13,169,4.469705560159607e-27,5.445545089797791e-09,5.382744826924576e-24
66,4356,5.671074060028219e-30,8.883227205968203e-09,8.093924484642074e-21
74,5476,2.0901006376419184e-30,7.678291748333244e-10,3.2957736281154003e-18
43,1849,2.4642752694743208e-27,4.061130444957212e-09,5.80640640592048e-23
47,2209,3.572857927569659e-28,2.641621673918048e-09,1.0345772978133444e-21
15,225,1.365385760166906e-28,4.080135814835106e-09,3.6216687225879224e-22
35,1225,7.334378746760631e-29,7.133267387498339e-09,5.146947942912211e-22
91,8281,8.098572764422555e-27,1.8398750645631137e-09,1.8217060828866537e-22
1,1,4.0615432812708474e-29,2.675959483829233e-09,1.8870000823644321e-22
90,8100,9.150950864171327e-29,6.57002388045252e-09,1.2504446179906045e-21
99,9801,8.234016802705626e-30,4.973319726358229e-09,2.6677968608207794e-20
66,4356,2.5009895304174744e-29,3.6857753839408747e-09,1.0660962195197553e-20
66,4356,1.027554789550743e-30,9.571803929217513e-09,3.8474539618091775e-20
32,1024,1.49450590678856e-27,3.2972166267160094e-09,1.0808849055133042e-22
65,4225,2.2071976502803763e-29,2.106759789517495e-09,3.641364568594911e-20
74,5476,1.6167399252747468e-29,9.151043134333227e-10,2.9996627041254553e-19
98,9604,2.8711517751949898e-27,3.53181227158945e-09,1.50174700432587e-22
75,5625,6.275733507103132e-28,6.57444420686401e-09,1.517402354340374e-22
64,4096,1.0033909959752629e-30,1.15429227381623e-09,2.6272431528034085e-18
40,1600,1.2816052500284427e-29,4.314417498892382e-09,9.202025828201441e-21
89,7921,5.163281692100648e-28,1.1186231178667618e-09,7.559945738569038e-21
56,3136,4.9305815992326305e-29,4.079730940843132e-09,3.744974835965319e-21
68,4624,1.0268085396207912e-30,1.3349026590846143e-09,2.0395873812408228e-18
72,5184,1.184120965702589e-30,5.7971945371694854e-09,9.929394117451673e-20
86,7396,3.9409667293238333e-28,5.12074372865475e-10,4.567217258181085e-20
24,576,1.3086519567349687e-30,5.749690110869043e-09,3.044530142192178e-20
65,4225,4.876601197267661e-30,5.724690596496233e-09,2.2321025780680237e-20
26,676,5.381768888036555e-28,8.3879167427758e-09,3.768444764124795e-23
60,3600,6.765662761016638e-27,1.9374326978376597e-09,1.2966110724650145e-22
9,81,1.3442424820902327e-28,3.880141076515735e-09,2.4405737317078474e-22
79,6241,3.1293007095665584e-28,5.895018669091792e-09,3.9868646764775094e-22
37,1369,1.0314786524682454e-27,9.14691607169616e-09,2.3529579359514646e-23
88,7744,3.449415868247117e-30,8.21688598175887e-09,2.0736939742787017e-20
31,961,5.9441511787431895e-27,7.617138195615283e-09,4.9329901629601315e-24
18,324,1.0394756791682138e-30,5.8112564523308425e-09,2.8141041178795325e-20
19,361,8.221962877442985e-28,3.4505237342089084e-09,1.065197462503977e-22
3,9,1.769359507738817e-30,5.618882274888175e-10,2.947320579307781e-19
24,576,6.746050552261262e-29,9.919192210782612e-10,1.984408645085537e-20
28,784,1.1280114446766045e-27,1.2202708032471441e-10,9.148589828591356e-20
15,225,3.530927837262296e-29,6.55312849154064e-09,5.4290910106019775e-22
18,324,1.3802997622989558e-28,9.110390812213855e-09,8.622776884439575e-23
15,225,3.3201150177346435e-30,2.37477057140032e-09,4.3965992853348114e-20
59,3481,4.959687290272739e-27,7.345234554731668e-09,1.2100643082398091e-23
92,8464,3.98444745076558e-28,9.021185774472822e-09,1.5570929664657157e-22
68,4624,4.091708466743415e-27,3.778249253793453e-09,6.38917952627795e-23
29,841,2.4755151591412687e-29,2.5786853442656516e-09,9.668470481883996e-21
69,4761,1.806244149257036e-28,2.321185173047433e-09,3.8911245631718015e-21
35,1225,1.3690256534812808e-30,3.6764902114270825e-09,1.038034294570908e-19
33,1089,2.784970830905011e-27,1.2820924089987711e-09,3.956186013713428e-22
60,3600,8.489773574215214e-30,1.9565315072827505e-09,1.0132194607850473e-19
61,3721,8.654988326603844e-29,1.6110693348513095e-09,1.4902425442714786e-20
31,961,4.785748126859455e-28,1.910050917734935e-09,9.74415173672128e-22
80,6400,1.3176452831872272e-29,2.2210703587756144e-10,6.754433256342557e-18
46,2116,1.2695237008568186e-29,5.776840284398747e-09,5.958793966362483e-21
49,2401,4.552567327281409e-27,4.807287403113124e-09,2.556004419248185e-23
5,25,1.211318728236265e-30,9.217148952848952e-09,2.666492905020012e-21
53,2809,1.402725351726906e-29,6.4269050272214375e-09,5.020205912700643e-21
18,324,3.391623402911806e-28,8.83632563047381e-10,3.7302980221872914e-21
73,5329,2.6079605767419477e-27,2.258430098319103e-09,3.011831032697894e-22
78,6084,5.339654759621503e-28,2.9182484665569545e-09,9.41366988074809e-22
38,1444,6.568403799885162e-27,1.9113273223756535e-09,8.691118845727275e-23
67,4489,5.331368964795474e-29,8.278394136352225e-09,1.0063891274397408e-21
41,1681,5.828377899439859e-30,1.8095518265099584e-09,1.1790064303967662e-19
49,2401,6.07858736334564e-28,4.798659991504948e-09,1.9212130622738709e-22
56,3136,1.2826835146817215e-28,7.141254241617408e-09,4.698309210903245e-22
30,900,2.5032588543102496e-27,5.34084410841425e-09,2.3057794388409875e-23
6,36,1.3238506226992248e-29,6.770589998183864e-09,5.426018967178151e-22
82,6724,5.726231298763104e-27,2.5902218378017253e-10,1.1713673558546935e-20
17,289,2.0720409604081625e-28,5.5591886030896446e-09,1.4569674195082197e-22
16,256,1.053558928679807e-30,5.9732984572609525e-09,2.3359029368634993e-20
68,4624,7.179561616154402e-30,1.8095346068412364e-09,1.587447133519574e-19
38,1444,1.6365206660790884e-29,7.1750152703334275e-09,2.475360834048685e-21
43,1849,1.9630119699110523e-30,2.8180628041992785e-09,1.5137921340711582e-19
85,7225,7.702637807360871e-27,8.655976446150248e-09,8.0829406247627e-24
37,1369,2.8704870829567324e-29,6.2157521731683475e-09,1.8309682694331193e-21
80,6400,4.882387132823645e-28,2.8699860523901557e-09,1.0917426434499099e-21
73,5329,1.4567654697252667e-29,1.9431977989368905e-10,7.283183859534309e-18
41,1681,5.126665506612721e-28,4.6877721645336276e-09,1.9972754063057298e-22
9,81,2.557028411774438e-27,7.621482508147432e-09,3.32544763308394e-24
68,4624,5.070397644830757e-30,6.175238627415574e-09,1.9301073981430778e-20
12,144,4.9986352302800936e-29,6.653051857737238e-09,2.9765285665816875e-22
83,6889,1.2870680373483318e-29,6.192559298988346e-09,9.229077882062466e-21
48,2304,1.3773745902326704e-27,4.714589586883319e-09,8.60445677255261e-23
52,2704,1.4842654294461172e-27,4.350578790204341e-09,1.0158270346843616e-22
100,10000,4.3014339893711534e-30,2.7106692190218035e-09,1.7364239247739425e-19
97,9409,1.9766322240839332e-28,9.745848362513648e-09,2.835493364475253e-22
44,1936,8.81798860611224e-30,2.683886600596451e-09,3.8016916666037325e-20
39,1521,1.5147143606101706e-30,5.921104688967899e-10,4.0304214038889475e-18
38,1444,7.039032412198593e-29,1.975845307346898e-09,7.589039684080649e-21
68,4624,2.831358051864534e-28,5.8710012186074565e-09,3.8239468746310737e-22
74,5476,5.834963427863138e-30,1.5043806832703184e-09,3.0753897081404237e-19
55,3025,5.7727335529613964e-30,9.7037992979098e-09,5.552897254011171e-21
24,576,3.599368032234656e-29,6.882028505489087e-09,7.726345491024472e-22
65,4225,3.0316182587029695e-30,1.0166305821333163e-09,1.138504036108683e-18
60,3600,1.7221963716857044e-27,6.664082112010423e-09,4.305364971600173e-23
55,3025,5.709285787069419e-27,7.68238966920244e-09,8.957984669168966e-24
63,3969,6.194924868784632e-30,5.098456228425648e-09,2.1470847504922006e-20
11,121,2.170487768724533e-27,2.5439560800737807e-09,4.2977207756716945e-23
6,36,1.5637662986711771e-30,2.149835597319316e-09,4.5560761428204505e-20
64,4096,1.670781767872507e-30,6.551836522904345e-10,4.8972944084222235e-18
13,169,1.875966339695798e-28,3.946206560520276e-09,2.4421973410698943e-22
8,64,2.3974989506084112e-30,4.0534856486540325e-09,1.1145417811316821e-20
70,4900,2.11051372546949e-30,8.801537068268476e-09,2.3497133602960163e-20
46,2116,4.556594208425017e-30,6.964095629981555e-09,1.1423787012250938e-20
94,8836,1.8887064161229054e-27,8.428622367315901e-09,3.844786930575305e-23
2,4,6.138742377567691e-27,2.631739732086415e-09,2.581587118025577e-24
52,2704,1.4989487675690656e-30,7.923144618525792e-09,3.0327978256508557e-20
81,6561,3.6819014459771097e-29,6.274529803332105e-09,3.0667089331546008e-21
61,3721,1.4546361458682812e-29,9.736772143344984e-09,2.427546278586882e-21
2,4,1.592857159683856e-29,5.664643702916202e-09,2.147484502178778e-22
24,576,5.398311992486541e-30,9.366577402503811e-09,2.7810799888527424e-21
65,4225,2.2271022602883418e-27,6.087634886468432e-09,4.322132489056574e-23
77,5929,4.4192215504426095e-28,8.791285531635381e-09,1.237263641606903e-22
90,8100,3.5234218340788163e-29,6.624238241123932e-09,3.194685076954064e-21
21,441,8.05455499889305e-27,7.002719134727793e-09,2.917873093314248e-24
47,2209,1.913000278049241e-29,8.311810454486785e-09,1.951702574256109e-21
70,4900,5.618745360539006e-29,5.1032971336161385e-09,2.6253006777556098e-21
31,961,7.050277040496368e-28,4.245351490430231e-09,1.3389065819885594e-22
82,6724,2.645614686127033e-27,5.306320554829859e-09,6.041188224357983e-23
44,1936,1.0111028347266743e-29,8.962600278309181e-09,2.9731126499261018e-21
45,2025,1.6855314706204397e-29,9.434936770536357e-09,1.6459617248776507e-21
72,5184,2.1409323965663166e-30,8.351903891541177e-09,2.645943937951054e-20
2,4,1.5106219965351454e-30,1.8253877725190233e-09,2.1806501173822192e-20
48,2304,2.852786226985979e-28,5.5485311286074716e-09,2.9994251342142967e-22
21,441,1.9802377245550626e-27,6.366765292719492e-09,1.435774899201822e-23
81,6561,1.0184656625364725e-27,3.6684293965679364e-09,3.243398932556327e-22
33,1089,6.700221446719093e-29,4.544413176835803e-09,1.3088540893117865e-21
78,6084,4.4863803444690194e-27,3.556569227291786e-10,7.543242199489629e-21
82,6724,1.1336923206629005e-30,8.821410473105353e-09,5.1011096343557667e-20
59,3481,1.123392402057228e-30,9.006727263171141e-09,3.553109383063044e-20
83,6889,8.825589481508629e-27,1.5576114312399377e-09,2.12734628939693e-22
46,2116,3.0647632152496896e-28,8.656828798705609e-09,1.0991711465550594e-22
2,4,3.894757786922243e-30,7.736643875277392e-09,4.7083246470333575e-22
18,324,6.446678641419317e-27,9.196057610072299e-09,1.8119874635225813e-24
21,441,1.3304064077850053e-30,2.114126331535775e-09,1.9381847307978363e-19
95,9025,1.0855243661673265e-28,4.7603171090226035e-09,2.119504448307119e-21
50,2500,1.1517084856742926e-27,3.4254810034030065e-09,2.030515844435132e-22
70,4900,7.506802659169154e-27,7.067006794935496e-09,1.02469376806132e-23
57,3249,2.0880634706366487e-27,7.890961207115064e-09,2.4059877683269424e-23
57,3249,2.2626686771910867e-29,9.703418464003945e-10,1.468339361125861e-19
4,16,1.7562779978266237e-28,5.525088515666102e-09,4.094589065739838e-23
88,7744,1.4301466871434994e-30,9.535234662447398e-09,3.714166671207387e-20
48,2304,3.993285983939824e-30,4.887864803605069e-09,2.7611787693479626e-20
90,8100,1.4098094396303771e-30,1.3005856273992477e-09,2.07122016874713e-18
61,3721,6.702969000475914e-28,7.947597348818307e-09,7.907022662562387e-23
55,3025,4.590198988958393e-29,8.001052415704754e-09,1.02720947655572e-21
87,7569,6.186087770151725e-30,2.5244201265929103e-09,1.2111612814270119e-19
77,5929,2.2758193956677843e-29,1.0791009059897507e-09,1.594596800433456e-19
83,6889,7.281281376395395e-30,5.019320980581126e-09,2.483146893635426e-20
51,2601,1.1758042547716383e-28,7.816788788965113e-09,3.8958341999916865e-22
89,7921,1.8256823005527037e-29,6.2901664085117535e-09,6.7618043935838745e-21
20,400,3.394794270009939e-27,2.338235323928751e-09,5.913739265904627e-23
20,400,4.164625200398132e-28,9.399424638621083e-09,2.983139786597476e-23
45,2025,2.1442988756335346e-28,1.4083104176638967e-09,5.807008797703635e-21
8,64,3.853038381211172e-27,1.252982059019089e-10,7.258034339529895e-21
11,121,6.1967049245506735e-28,2.4130284292388943e-09,1.673127600198021e-22
33,1089,7.872185754034533e-29,9.207178312232666e-09,2.7138608150081394e-22
93,8649,7.96707938336048e-28,9.896124345255478e-09,6.541473536443572e-23
38,1444,2.662464731528573e-27,2.1413349041335808e-09,1.7082546541850878e-22
55,3025,9.19049699531285e-30,6.225557062938221e-09,8.474016935238975e-21
62,3844,2.4481534817311865e-27,3.4974859630409602e-09,1.136221909919121e-22
24,576,2.3684697768197157e-30,8.603325566734196e-09,7.51333495665771e-21
14,196,2.2747873984754633e-27,1.9230675130857418e-09,9.133142446836298e-23
25,625,1.9993628702767557e-30,4.3455138179631636e-09,3.63402731552961e-20
86,7396,2.7832218898979226e-29,2.2442904743845107e-09,3.36677861012264e-20
95,9025,5.74406842588994e-29,3.0530385515418556e-09,9.737814468531e-21
54,2916,1.1475580254532539e-29,4.932809375716047e-09,1.0613350613885162e-20
38,1444,6.8448690930350145e-28,3.943712936564016e-09,1.9589796819616002e-22
73,5329,3.77464650053463e-29,9.208519062403489e-09,1.2516677523304167e-21
27,729,1.353725347314524e-27,5.143145831819869e-09,4.1380677591556215e-23
81,6561,7.568193455216409e-27,7.244833070010689e-09,1.1190721802890517e-23
65,4225,1.872210393790477e-30,4.702083311980296e-09,8.617873941071535e-20
89,7921,7.98814437887308e-30,6.723551437174062e-09,1.3525979016044495e-20
71,5041,6.040765983662908e-28,9.041318324507722e-09,7.890870004515085e-23
90,8100,1.7760588602964913e-28,2.4654940334343876e-09,4.5750865568078326e-21
30,900,1.2713423987039352e-29,6.92551028929317e-09,2.700083768815287e-21
80,6400,1.024835126899034e-30,1.568320163678552e-09,1.741761167837081e-18
81,6561,1.7658991937134937e-29,3.06578685648695e-09,2.6782879446214625e-20
93,8649,3.65259111171818e-28,9.045641078032591e-09,1.7077537973530016e-22
88,7744,3.6014438854874854e-29,4.236150364139541e-09,7.472834382432162e-21
73,5329,6.669343896058004e-30,8.645434386217654e-09,8.03689291895575e-21
18,324,5.847250389618041e-27,5.274834285932943e-10,6.071908867747527e-22
58,3364,9.571843854337646e-27,4.977685868813576e-09,1.342145157015917e-23
16,256,3.153939243490714e-30,6.712818125731977e-09,6.178441942590844e-21
81,6561,2.507424397450709e-27,3.997039777447662e-09,1.109691611185292e-22
8,64,1.2260539832656009e-29,6.046596531672814e-09,9.794459730841482e-22
64,4096,5.601223865722866e-28,8.13778453816358e-09,9.469057228376379e-23
71,5041,4.261354607514106e-27,5.250566549144114e-10,3.316808596957921e-21
52,2704,1.2469871360371111e-30,6.224684351444808e-09,5.906480506484434e-20
35,1225,5.271519863942864e-28,9.104218669148038e-09,4.396113618878717e-23
4,16,2.9964108160020708e-30,6.0325985508535085e-09,2.013130164305311e-21
22,484,2.225879950764453e-29,4.032170094380744e-09,3.336301775170212e-21
52,2704,4.4802725552899095e-29,9.548313975079311e-09,6.986627642870848e-22
34,1156,9.416644559600188e-27,4.7633147132701505e-09,8.733458447244064e-24
34,1156,4.2571558215890704e-27,6.221018118881436e-09,1.132552934794669e-23
39,1521,3.124487903546478e-27,4.615656860944408e-09,3.215442898532716e-23
94,8836,3.741547134926695e-29,7.266174257103027e-09,2.611482302133116e-21
80,6400,5.983569915945144e-28,1.7256225028953406e-09,2.4641100376087967e-21
61,3721,6.051202727201335e-27,4.927771749086735e-10,2.2782901743713876e-21
14,196,6.530421187608191e-28,7.978217636456834e-09,1.848405093715666e-23
38,1444,7.05315374337894e-30,5.588340814545203e-09,9.467962932594512e-21
34,1156,1.4509672951772916e-28,7.625610837664866e-10,2.21153638829458e-20
72,5184,3.1440958025174677e-30,9.108303966158801e-09,1.5148993045986197e-20
46,2116,3.1653611131769706e-29,1.3631210463780382e-09,4.2922775247820904e-20
26,676,5.036189831228225e-28,6.665670094537585e-09,6.376842602972918e-23
68,4624,2.7317631581622886e-30,1.6977601610503221e-09,4.739529864539676e-19
47,2209,1.3171724754971417e-30,8.430928222220387e-09,2.7550310585340246e-20
64,4096,1.1665044031879508e-28,8.827467225049152e-09,3.864056213815227e-22
44,1936,1.1821612764341277e-28,6.2217690454395335e-09,5.276795302456198e-22
20,400,1.539586400323483e-29,5.861525796884632e-09,2.0750407983816772e-21
51,2601,6.994924535198173e-28,4.053204635131441e-09,2.4356347029225767e-22
60,3600,9.557869266681384e-30,4.5943811693779925e-09,1.6321429363711184e-20
86,7396,5.478883415218788e-28,9.438917665486396e-09,9.669055838748232e-23
64,4096,2.5419925459360086e-30,6.332781326031392e-09,3.445393177254095e-20
33,1089,1.6830017840322274e-29,1.9375178853831283e-09,2.866553126071725e-20
23,529,7.041707545297055e-29,8.634856431149526e-09,2.4041506692224226e-22
56,3136,1.1325969167077182e-30,1.6456791853392709e-09,1.0019461284830561e-18
12,144,1.2515266381708744e-28,8.826214087070975e-10,6.7548281611488044e-21
57,3249,3.57330048732234e-28,4.886286487617703e-09,3.666650672225473e-22
44,1936,2.0127561589927647e-30,7.796408961117982e-09,1.9737600762312277e-20
83,6889,6.653403729782986e-30,5.9472175463391436e-09,1.935658044440288e-20
51,2601,2.2199479691813034e-27,5.8531787573295625e-09,3.680153019007036e-23
84,7056,2.6037502076824186e-28,4.4577176606488795e-09,8.909984002912038e-22
34,1156,1.517802403236051e-29,5.04938338772133e-09,4.8217985162000984e-21
89,7921,8.986299907891777e-28,2.1937968305385617e-09,1.1293754956560684e-21
99,9801,1.3431255560453172e-29,6.06523143983317e-09,1.0996282759180375e-20
84,7056,5.267651720465656e-28,3.247745965957658e-09,8.296983010261326e-22
87,7569,1.768703492452513e-27,4.141622401495506e-09,1.573784592013414e-22
1,1,1.749002161229901e-29,2.2672312492132472e-09,6.104359300192708e-22
27,729,1.8424916965198179e-28,1.8818322958223498e-09,2.271006940865188e-21
17,289,3.2121309819510257e-27,3.216676115525553e-09,2.8071335723515203e-23
82,6724,1.0450756306189213e-29,8.157928785140648e-09,6.470359091525125e-21
8,64,4.217766087098136e-27,5.355177935858112e-09,3.62979214931729e-24
8,64,2.4777444052374174e-28,9.847786537301278e-09,1.8271672499391758e-23
90,8100,2.7778544974152212e-27,8.207410390448774e-09,2.6396283733635395e-23
42,1764,4.860585327065812e-30,2.348154770086889e-09,8.600611961778522e-20
50,2500,8.295956982809851e-29,7.46508592420192e-09,5.935481600074669e-22
3,9,3.5294749371032363e-28,1.3213780174809853e-09,2.671646963618152e-22
61,3721,4.479145007565499e-27,6.806949038744592e-10,1.6130646951524408e-21
47,2209,3.0467438303024966e-27,4.538007931901254e-10,4.111056903739064e-21
48,2304,1.8324681078199263e-30,9.186755653714144e-09,1.7033447398389996e-20
8,64,1.630492732273393e-27,8.330605732093508e-09,3.880074191516151e-24
59,3481,1.7414035323092153e-28,3.462668455311382e-09,1.5507894623729466e-21
82,6724,2.1245126652057506e-28,2.8559287875519998e-09,2.59705921224672e-21
7,49,4.711676710312232e-28,9.30476931195774e-09,9.417451825424862e-24
76,5776,3.131104123858706e-27,8.713139791262678e-09,1.754643089836709e-23
11,121,2.9797374591033517e-28,1.0676624629107634e-09,1.777333015857532e-21
86,7396,1.788713889823198e-28,9.684152984711442e-09,2.8135611631339865e-22
92,8464,3.02807217808323e-30,6.733794968718349e-09,3.677256282895238e-20
3,9,7.41212196850537e-29,9.359483828536014e-09,2.5356947587420553e-23
43,1849,1.3752317151119606e-30,9.171219719818942e-09,2.0401422585731782e-20
23,529,3.149919685183572e-29,2.7151190992054713e-09,5.4359150085428655e-21
93,8649,1.88889733323872e-29,7.537885593550864e-09,4.7555153042745594e-21
90,8100,5.593406876480791e-27,1.0517353535534865e-09,7.983167173332077e-22
75,5625,2.8793625196931034e-29,9.135649381058451e-09,1.7128058649050444e-21
29,841,8.463005221908532e-28,9.926624927295631e-09,1.9085003140890764e-23
87,7569,8.407239913554474e-27,3.287356479554229e-09,5.255260891298568e-23
88,7744,8.707491693277232e-29,3.6128556902521605e-09,4.249232023256321e-21
50,2500,8.456532142013123e-28,8.723364889857575e-09,4.264142350434229e-23
82,6724,2.084404279748832e-28,5.8868205786861885e-09,6.2300620089974805e-22
20,400,1.9194473517630902e-30,9.895564794568314e-09,5.839755837223322e-21
17,289,4.2489844594406375e-27,4.729630970222367e-09,9.815927412370372e-24
40,1600,3.456891407608162e-29,6.9514193781434805e-09,1.3141633330700803e-21
45,2025,2.1888532059324752e-27,3.1145600893280835e-09,1.163119991824362e-22
99,9801,1.4500966381309312e-29,7.456681306737485e-09,6.738591916895883e-21
14,196,3.247329690725018e-29,7.726306867314353e-09,3.9635087195970567e-22
90,8100,3.5337788353103314e-28,8.13989923795168e-09,2.109537054307334e-22
26,676,2.54349852062288e-28,5.357381244185756e-09,1.9546041865297135e-22
86,7396,1.832132145745497e-28,7.307975379736657e-09,4.823581016266806e-22
34,1156,5.183174339642355e-28,4.247010127255036e-09,1.9958990839927352e-22
75,5625,2.3422363967531157e-29,5.5412304718051465e-09,5.723216598642943e-21
38,1444,2.649090046760159e-29,3.82547964938474e-09,5.379441086480162e-21
52,2704,3.904318090593507e-27,3.4527554576637624e-09,6.131243744462359e-23
30,900,5.947733567654461e-27,4.5944887949834945e-09,1.3113463971152224e-23
